Species,site_id,gateway_hub_id,sensor_id,value1,value2,value3,value4
41,1004,arc1048,0a.EPA-24h,5.2,15.47,1007.7,7.45
42,1004,arc1048,0b.EPA-1h,21.3,59.33,7.6,15.95
43,1004,arc1048,0b.EPA-1h.NOPK,21.3,1007.1,16.06,57.94
44,1004,arc1048,0b.EPA-1h.NOPK.EPA-24h,22.7,7.6,56.33,1007.4
45,1004,arc1048,0b.EPA-1h.PKIND,1,16.12,1006.1,7.78
46,1004,arc1048,0b.EPA-24h,22.7,58.21,7.06,15.58
47,1004,arc1048,5a.EPA-1h,14.49,1008,16.2,57.1
48,1004,arc1048,5b.EPA-1h,62.55,6.84,56,1006.2
49,1005,arc1050,0a.EPA-1h,3.9,15.2,1006.9,7.31
50,1005,arc1050,0a.EPA-1h.NOPK,3.9,58.75,5.98,15.54
133,1005,arc1050,5b,62.51,1006.5,4.2,57.1
